,createdAt,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,Total
territories,,06,13,15,33,34,36,44,59,63,67,75,76,77,78,91,92,"92', '75",93,"93', '75",94,"94', '92",95,
278,2021-11-25,2.0,,,,,5.0,,,,,3.0,,2.0,1.0,,,,,,2.0,,,15.0
279,2021-11-26,1.0,5.0,,,3.0,,,,,,,,,1.0,,11.0,,,,,,,21.0
280,2021-11-29,,,,1.0,,2.0,,,1.0,,1.0,1.0,7.0,1.0,,,,,,,,1.0,15.0
281,2021-11-30,2.0,10.0,2.0,309.0,4.0,5.0,159.0,,12.0,135.0,680.0,,7.0,295.0,9.0,478.0,1.0,283.0,1.0,259.0,2.0,63.0,2716.0
282,2021-12-01,10.0,,,,1.0,,4.0,,,1.0,8.0,2.0,,3.0,2.0,2.0,,1.0,,3.0,,1.0,38.0
283,2021-12-02,4.0,,,,6.0,,2.0,,,,5.0,,,1.0,3.0,2.0,,1.0,,5.0,,1.0,30.0
284,2021-12-03,2.0,,,,,,,,,,,,3.0,,,,,,,,,6.0,11.0
285,2021-12-06,2.0,,,,1.0,,2.0,,,,,,,,,,,2.0,,18.0,,,25.0
286,2021-12-07,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
287,2021-12-08,,1.0,,1.0,,2.0,5.0,,,1.0,,1.0,5.0,6.0,,,,2.0,,7.0,,3.0,34.0
288,2021-12-09,3.0,1.0,,,2.0,,9.0,,,1.0,,1.0,3.0,,2.0,4.0,,1.0,,1.0,,8.0,36.0
289,2021-12-10,3.0,1.0,,,1.0,,7.0,,,,1.0,,4.0,1.0,,2.0,,,,,,,20.0
290,2021-12-11,,,,,,,,,,,,,,,,4.0,,,,,,,4.0
291,2021-12-13,11.0,6.0,,1.0,,,3.0,,,1.0,,,,,,2.0,,,,5.0,,2.0,31.0
292,2021-12-14,16.0,1.0,,2.0,7.0,1.0,4.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,6.0,42.0
293,2021-12-15,1.0,,,2.0,6.0,,2.0,,2.0,,2.0,3.0,1.0,,,,,1.0,,,,,20.0
294,2021-12-16,,,,1.0,4.0,,3.0,,1.0,4.0,2.0,,4.0,,1.0,,,1.0,,1.0,,2.0,24.0
295,2021-12-17,,,,,5.0,7.0,2.0,,,,1.0,,4.0,,4.0,,,,,,,1.0,24.0
296,2021-12-20,,,,,1.0,,,4.0,,,,,2.0,,1.0,,,,,5.0,,,13.0
297,2021-12-21,1.0,,,,2.0,,,,2.0,,1.0,1.0,3.0,,,,,,,,,,10.0
298,2021-12-22,,,,,6.0,5.0,,,3.0,,1.0,3.0,,,,,,1.0,,1.0,,,20.0
