,_id,territory,lieu_id,territory,verified,typeAccount,compte activé,compte non validé,non lié,Niveau de validation des comptes
0,5a58c0c7c1797fe45e37728a,75,0,75,True,USER,1,0,0,1
1,5a58c0c7c1797fe45e37728b,75,1,75,True,USER,1,0,0,1
2,5a58c0c7c1797fe45e37728c,75,2,75,False,INVITATION,0,0,0,0
3,5a58c0c7c1797fe45e37728d,75,3,75,True,USER,1,0,0,1
4,5a58c0c7c1797fe45e37728e,75,4,75,True,USER,1,0,0,1
5,5a58c0c7c1797fe45e37728f,75,5,75,True,USER,1,0,0,1
6,5a58c0c7c1797fe45e377294,75,10,75,False,INVITATION,0,0,0,0
7,5a58c0c7c1797fe45e377295,75,11,75,True,USER,1,0,0,1
8,5a58c0c7c1797fe45e377296,75,12,75,True,USER,1,0,0,1
9,5a58c0c7c1797fe45e377297,75,13,75,False,INVITATION,0,0,0,0
10,5a58c0c7c1797fe45e377299,75,15,75,True,USER,1,0,0,1
11,5a58c0c7c1797fe45e37729a,75,16,75,True,USER,1,0,0,1
12,5a58c0c7c1797fe45e37729b,75,17,75,True,USER,1,0,0,1
13,5a58c0c7c1797fe45e37729c,75,18,75,False,INVITATION,0,0,0,0
14,5a58c0c7c1797fe45e37729e,75,20,75,True,USER,1,0,0,1
15,5a58c0c7c1797fe45e37729f,75,21,75,True,USER,1,0,0,1
16,5a58c0c7c1797fe45e3772a0,75,22,75,False,INVITATION,0,0,0,0
17,5a58c0c7c1797fe45e3772a1,75,23,75,True,USER,1,0,0,1
18,5a58c0c7c1797fe45e3772a3,75,25,75,True,USER,1,0,0,1
19,5a58c0c7c1797fe45e3772a7,75,29,75,True,USER,1,0,0,1
20,5a58c0c7c1797fe45e3772a8,75,30,75,True,USER,1,0,0,1
21,5a58c0c7c1797fe45e3772a9,75,31,75,False,INVITATION,0,0,0,0
22,5a58c0c7c1797fe45e3772aa,75,32,75,True,USER,1,0,0,1
23,5a58c0c7c1797fe45e3772ab,75,33,75,True,USER,1,0,0,1
24,5a58c0c7c1797fe45e3772ad,75,35,75,True,USER,1,0,0,1
25,5a58c0c7c1797fe45e3772ae,75,36,75,True,USER,1,0,0,1
26,5a58c0c7c1797fe45e3772af,75,37,75,True,USER,1,0,0,1
27,5a58c0c7c1797fe45e3772b0,75,38,75,True,USER,1,0,0,1
28,5a58c0c7c1797fe45e3772b3,75,41,75,True,USER,1,0,0,1
29,5a58c0c7c1797fe45e3772b4,75,42,75,True,USER,1,0,0,1
30,5a58c0c7c1797fe45e3772b5,75,43,75,True,USER,1,0,0,1
31,5a58c0c7c1797fe45e3772b6,75,44,75,False,INVITATION,0,0,0,0
32,5a58c0c7c1797fe45e3772b7,75,45,75,True,USER,1,0,0,1
33,5a58c0c7c1797fe45e3772b8,75,46,75,True,USER,1,0,0,1
34,5a58c0c7c1797fe45e3772b9,75,47,75,True,USER,1,0,0,1
35,5a58c0c7c1797fe45e3772bb,75,49,75,True,USER,1,0,0,1
36,5a58c0c7c1797fe45e3772bc,93,50,93,True,USER,1,0,0,1
37,5a58c0c7c1797fe45e3772bd,75,51,75,True,USER,1,0,0,1
38,5a58c0c7c1797fe45e3772be,75,52,75,True,USER,1,0,0,1
39,5a58c0c7c1797fe45e3772bf,75,53,75,False,INVITATION,0,0,0,0
40,5a58c0c7c1797fe45e3772c0,75,54,75,False,INVITATION,0,0,0,0
41,5a58c0c7c1797fe45e3772c1,75,55,75,False,INVITATION,0,0,0,0
42,5a58c0c7c1797fe45e3772c2,75,56,75,False,INVITATION,0,0,0,0
43,5a58c0c7c1797fe45e3772c3,75,57,75,False,INVITATION,0,0,0,0
44,5a58c0c7c1797fe45e3772c4,75,58,75,False,INVITATION,0,0,0,0
45,5a58c0c7c1797fe45e3772c6,75,60,75,False,INVITATION,0,0,0,0
46,5a58c0c7c1797fe45e3772c7,75,61,75,False,INVITATION,0,0,0,0
47,5a58c0c7c1797fe45e3772c8,75,62,75,False,INVITATION,0,0,0,0
48,5a58c0c7c1797fe45e3772c9,75,63,75,False,INVITATION,0,0,0,0
49,5a58c0c7c1797fe45e3772ca,75,64,75,False,INVITATION,0,0,0,0
50,5a58c0c7c1797fe45e3772cb,75,65,75,False,INVITATION,0,0,0,0
51,5a58c0c7c1797fe45e3772cc,75,66,75,False,INVITATION,0,0,0,0
52,5a58c0c7c1797fe45e3772cd,75,67,75,False,INVITATION,0,0,0,0
53,5a58c0c7c1797fe45e3772ce,75,68,75,False,INVITATION,0,0,0,0
54,5a58c0c7c1797fe45e3772cf,93,69,93,False,INVITATION,0,0,0,0
55,5a58c0c7c1797fe45e3772d0,75,70,75,,,0,0,3,3
56,5a58c0c7c1797fe45e3772d1,75,71,75,,,0,0,3,3
57,5a58c0c7c1797fe45e3772d2,75,72,75,,,0,0,3,3
58,5a58c0c7c1797fe45e3772d3,75,73,75,,,0,0,3,3
59,5a58c0c7c1797fe45e3772d4,75,74,75,,,0,0,3,3
60,5a58c0c7c1797fe45e3772d5,75,75,75,,,0,0,3,3
61,5a58c0c7c1797fe45e3772d6,75,76,75,,,0,0,3,3
62,5a58c0c7c1797fe45e3772d7,75,77,75,,,0,0,3,3
63,5a58c0c7c1797fe45e3772d8,75,78,75,,,0,0,3,3
64,5a58c0c7c1797fe45e3772d9,75,79,75,,,0,0,3,3
65,5a58c0c7c1797fe45e3772da,75,80,75,,,0,0,3,3
66,5a58c0c7c1797fe45e3772db,75,81,75,,,0,0,3,3
67,5a58c0c7c1797fe45e3772dc,75,82,75,,,0,0,3,3
68,5a58c0c7c1797fe45e3772dd,75,83,75,,,0,0,3,3
69,5a58c0c7c1797fe45e3772de,75,84,75,,,0,0,3,3
70,5a58c0c7c1797fe45e3772df,75,85,75,,,0,0,3,3
71,5a58c0c7c1797fe45e3772e0,75,86,75,,,0,0,3,3
72,5a58c0c7c1797fe45e3772e1,75,87,75,,,0,0,3,3
73,5a58c0c7c1797fe45e3772e2,75,88,75,,,0,0,3,3
74,5a58c0c7c1797fe45e3772e3,75,89,75,,,0,0,3,3
75,5a58c0c7c1797fe45e3772e4,75,90,75,,,0,0,3,3
76,5a58c0c7c1797fe45e3772e5,75,91,75,,,0,0,3,3
