,index,_id,lieu_id,user,section,created_at,updatedAt,__v,new,old,userDatas,automation,noChanges,isCampaign,orgaId,orgaName,role,status,territoire
0,39145,60c31ada7721410d1708ea73,12605,5d3e0e909ac60c05a86bf0ff,place,2021-06-11,2021-06-11 08:12:10.976,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,59
1,39187,60c320ba7721410d1708eb32,2332,5fce3b1157e7cc6a57f6db37,tempMessage,2021-06-11,2021-06-11 08:37:14.952,0,,,"{'orgaId': '882', 'orgaName': 'Centre Médical et Dentaire MGEN', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,882,Centre Médical et Dentaire MGEN,OWNER,PRO,67
2,39196,60c322427721410d1708eb4a,2357,5fce3cff57e7cc6a57f6db43,place,2021-06-11,2021-06-11 08:43:46.546,0,,,"{'orgaId': '897', 'orgaName': 'Themis', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,897,Themis,OWNER,PRO,67
3,39215,60c324897721410d1708eb81,2211,5fd25c6517e8c5648075c599,place,2021-06-11,2021-06-11 08:53:29.929,0,,,"{'orgaId': '896', 'orgaName': 'Paroisse du Temple Neuf', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,896,Paroisse du Temple Neuf,OWNER,PRO,67
4,39260,60c3288d7721410d1708ebe2,9414,60b8a564778ac520d0505b27,place,2021-06-11,2021-06-11 09:10:37.888,0,,,"{'orgaId': '3576', 'orgaName': 'Association PAR ENchantement', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,3576,Association PAR ENchantement,OWNER,PRO,67
5,39582,60c37b8e7721410d1708f07c,2335,608aab5b635734571ad08501,place,2021-06-11,2021-06-11 15:04:46.347,0,,,"{'orgaId': '884', 'orgaName': 'Médecins du Monde - Alsace', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,884,Médecins du Monde - Alsace,OWNER,PRO,67
6,39672,60c744f3071bb421d8fbe2a9,5040,60bf244ddcc0491fd973cca8,place,2021-06-14,2021-06-14 12:00:51.782,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
7,39730,60c74f8e071bb421d8fbe3b8,11844,60815381ddf6c11d95f1dfc6,place,2021-06-14,2021-06-14 12:46:06.209,0,,,"{'orgaId': '3437', 'orgaName': 'Association Aurore - Epicerie Solidaire de Montreuil', 'role': 'OWNER', 'status': 'PRO', 'territory': '93'}",False,True,True,3437,Association Aurore - Epicerie Solidaire de Montreuil,OWNER,PRO,93
8,39745,60c75ba0071bb421d8fbe440,70,5ed4d29c6191f4686301a7c4,place,2021-06-14,2021-06-14 13:37:36.860,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,75
9,39856,60c78c450715f1051791230d,2276,60b8ea4351a507456a223e02,place,2021-06-14,2021-06-14 17:05:09.362,0,,,"{'orgaId': '3040', 'orgaName': 'Les Restos du Coeur Gironde', 'role': 'OWNER', 'status': 'PRO', 'territory': '33'}",False,True,True,3040,Les Restos du Coeur Gironde,OWNER,PRO,33
