,territory,Rappels demandées,Relance envoyées,emails envoyés,Mails rejetés,Mails cliqués,Mails ouverts,Mails répondus
0,,0,,,,,,
1,01,0,,,,,,
2,02,0,,,,,,
3,03,0,,,,,,
4,04,0,,,,,,
5,05,0,,,,,,
6,06,0,62.0,105.0,2.0,26.0,66.0,23.0
7,07,0,,,,,,1.0
8,08,0,,,,,,
9,09,0,,,,,,
10,10,0,,,,,,
11,11,0,,,,,,
12,12,0,,,,,,
13,13,1,41.0,48.0,,18.0,22.0,15.0
14,14,0,,,,,,
15,15,0,2.0,4.0,,,3.0,4.0
16,16,0,,,,,,
17,17,0,,,,,,
18,18,0,,,,,,
19,19,0,,,,,,
20,20,0,,,,,,
21,21,0,,,,,,
22,22,0,,,,,,
23,23,0,,,,,,
24,24,0,,,,,,
25,25,0,,,,,,
26,26,0,,,,,,1.0
27,27,0,,,,,,
28,28,0,,,,,,
29,29,0,,,,,,
30,30,0,,,,,,
31,31,0,,,,,,
32,32,0,,,,,,
33,33,1,442.0,710.0,26.0,101.0,273.0,48.0
34,34,0,2.0,9.0,1.0,1.0,4.0,4.0
35,35,0,,,,,,
36,36,0,8.0,25.0,,2.0,10.0,9.0
37,37,0,,,,,,
38,38,0,,,,,,
39,39,0,,,,,,
40,40,0,,,,,,
41,41,0,,,,,,
42,42,0,,,,,,
43,43,0,,,,,,
44,44,0,327.0,581.0,18.0,93.0,173.0,36.0
45,45,0,,,,,,
46,46,0,,,,,,
47,47,0,,,,,,
48,48,0,,,,,,
49,49,0,,,,,,
50,50,0,,,,,,
51,51,0,,,,,,
52,52,0,,,,,,
53,53,0,,,,,,
54,54,0,,,,,,
55,55,0,,,,,,
56,56,0,,,,,,
57,57,0,,,,,,
58,58,0,,,,,,
59,59,0,,,,,,3.0
60,60,0,,,,,,
61,61,0,,,,,,
62,62,0,,,,,,
63,63,0,4.0,7.0,,2.0,10.0,7.0
64,64,0,,,,,,
65,65,0,,,,,,
66,66,0,,,,,,
67,67,1,190.0,302.0,10.0,90.0,106.0,32.0
68,68,0,,,,,,
69,69,0,,,,,,1.0
70,70,0,,,,,,
71,71,0,,,,,,
72,72,0,,,,,,
73,73,0,,,,,,
74,74,0,,,,,,
75,75,1,824.0,1350.0,78.0,149.0,515.0,84.0
76,76,0,,3.0,,1.0,3.0,4.0
77,77,1,102.0,148.0,5.0,28.0,49.0,18.0
78,78,2,371.0,723.0,49.0,85.0,235.0,44.0
79,79,0,,,,,,
80,80,0,,,,,,
81,81,0,,,,,,
82,82,0,,,,,,
83,83,0,,,,,,
84,84,0,,,,,,
85,85,0,,,,,,
86,86,0,,,,,,
87,87,0,,,,,,
88,88,0,,,,,,
89,89,0,,,,,,
90,90,0,,,,,,
91,91,0,31.0,51.0,3.0,8.0,17.0,11.0
92,92,1,438.0,858.0,59.0,120.0,298.0,54.0
93,93,0,361.0,701.0,52.0,74.0,230.0,37.0
94,94,1,364.0,736.0,57.0,132.0,224.0,58.0
95,95,14,113.0,207.0,16.0,30.0,65.0,18.0
96,97,0,,,,,,
97,J3,0,,,,,,
98,Total,23,3682.0,6568.0,376.0,960.0,2303.0,513.0
